qid,doc_id,og_score,p_score,score_diff,percent_change,og_rank,p_rank,change_in_rank
1089763,7081592,111.11199951171876,111.04490661621094,-0.0670928955078125,-0.0603831231574015,1,1,0
1089763,7081591,110.66626739501952,110.64322662353516,-0.023040771484375,-0.0208200493490322,2,2,0
1089763,7081593,109.7898178100586,109.60647583007812,-0.1833419799804687,-0.1669936098242359,3,3,0
1089763,7081597,108.55206298828124,108.31120300292967,-0.2408599853515625,-0.2218843002344087,4,4,0
1089763,7081594,107.23123931884766,107.33261108398438,0.1013717651367187,0.0945356649616759,5,5,0
1089763,7081599,105.85943603515624,105.14152526855467,-0.7179107666015625,-0.6781736172891967,6,16,-10
1089763,7081598,103.5700454711914,103.38095092773438,-0.1890945434570312,-0.1825764800978377,7,40,-33
1089763,639115,101.66521453857422,105.0667953491211,3.401580810546875,3.345864980451336,8,19,-11
1089763,7888958,101.13953399658205,103.32561492919922,2.1860809326171875,2.161450469695722,9,46,-37
1089763,1047344,101.11042785644533,105.27037048339844,4.159942626953125,4.114256773652796,10,14,-4
1089763,639114,101.07653045654295,106.21038055419922,5.13385009765625,5.0791712719734745,11,6,5
1089763,228989,100.90974426269533,104.78805541992188,3.8783111572265625,3.8433465326502776,12,20,-8
1089763,1687790,100.808349609375,103.73896026611328,2.930610656738281,2.9071110360343995,13,32,-19
1089763,2082445,100.70349884033205,102.89456939697266,2.191070556640625,2.1757640815585,14,57,-43
1089763,5837307,100.69886779785156,106.06069946289062,5.361831665039063,5.324619613204289,15,7,8
1089763,5770835,100.69396209716795,103.39234924316406,2.6983871459960938,2.67979041622396,16,39,-23
1089763,7096850,100.67250061035156,105.66603088378906,4.9935302734375,4.96017307920535,17,11,6
1089763,4947709,100.64289093017578,105.92485809326172,5.2819671630859375,5.248226789063989,18,9,9
1089763,4947706,100.6343002319336,105.4061508178711,4.7718505859375,4.741773505593753,19,12,7
1089763,5901647,100.62255096435548,104.06404113769533,3.441490173339844,3.420197699578256,20,27,-7
